Ticker,Date,mktWatch-marketCap,mktWatch-float,mktWatch-Beta,mktWatch-P/Eratio,mktWatch-EPS,mktWatch-yield,mktWatch-dividend,mktWatch-short%
VNET,2023-09-17,451300000.0,129919999.99999999,1.10 ,N/A ,-0.6426 ,N/A ,N/A ,4.56  
STKL,2023-09-17,450870000.0,111120000.0,0.96 ,N/A ,-0.2832 ,N/A ,N/A ,5.11  
HONE,2023-09-17,450560000.0,40540000.0,0.77 ,11.53 ,0.84 ,3.10  ,0.08 ,1.08  
FFWM,2023-09-17,450420000.0,51460000.0,1.14 ,N/A ,-2.79 ,1.00  ,0.02 ,5.49  
SMR,2023-09-17,1380000000.0,44720000.0,0.53 ,N/A ,-0.73 ,N/A ,N/A ,22.05  
MYPS,2023-09-17,446680000.0,84330000.0,1.07 ,N/A ,-0.0135 ,N/A ,N/A ,2.03  
VITL,2023-09-17,446190000.0,25840000.0,0.83 ,28.88 ,0.37 ,N/A ,N/A ,6.66  
XPER,2023-09-17,445530000.0,42030000.0,0.61 ,N/A ,-18.26 ,N/A ,N/A ,2.39  
RMAX,2023-09-17,443730000.0,17100000.0,1.18 ,N/A ,-0.06 ,6.36  ,0.23 ,2.40  
EBIX,2023-09-17,442820000.0,24250000.0,1.81 ,13.18 ,1.09 ,2.09  ,0.08 ,23.16  
ITOS,2023-09-17,440830000.0,29280000.0,1.11 ,N/A ,-0.83 ,N/A ,N/A ,5.53  
GAIN,2023-09-17,439970000.0,32960000.0,0.82 ,13.43 ,0.97 ,7.40  ,0.08 ,5.69  
LBC,2023-09-17,439350000.0,20700000.0,0.79 ,7.97 ,1.08 ,0.00  ,0.12 ,0.67  
TGB,2023-09-17,431140000.0,279210000.0,N/A ,N/A ,-0.03 ,N/A ,N/A ,1.13  
EZPW,2023-09-17,438370000.0,50390000.0,0.75 ,19.90 ,0.40 ,N/A ,N/A ,12.48  
FRA,2023-09-17,N/A 
SLGC,2023-09-17,438210000.0,152330000.0,1.74 ,N/A ,-0.7590 ,N/A ,N/A ,6.64  
IHRT,2023-09-17,418780000.0,113920000.0,1.51 ,N/A ,-8.9622 ,N/A ,N/A ,6.02  
ANTX,2023-09-17,437570000.0,15240000.0,0.92 ,N/A ,-2.80 ,N/A ,N/A ,1.01  
SRG,2023-09-17,437100000.0,37200000.0,1.65 ,N/A ,-1.32 ,0.00  ,0.25 ,23.58  
EU,2023-09-17,446210000.0,141190000.0,N/A ,N/A ,-0.18 ,N/A ,N/A ,1.91  
RPTX,2023-09-17,434410000.0,31790000.0,1.19 ,N/A ,-0.16 ,N/A ,N/A ,3.79  
BW,2023-09-17,433830000.0,85770000.0,1.66 ,N/A ,-0.5026 ,N/A ,N/A ,1.84  
TBI,2023-09-17,433450000.0,29770000.0,0.76 ,29.45 ,0.47 ,N/A ,N/A ,2.08  
CMPS,2023-09-17,582300000.0,54120000.0,1.44 ,N/A ,-2.35 ,N/A ,N/A ,7.26  
ALTG,2023-09-17,430500000.0,23300000.0,1.09 ,89.74 ,0.15 ,1.71  ,0.06 ,4.00  
IGMS,2023-09-17,388170000.0,20720000.0,1.43 ,N/A ,-5.27 ,N/A ,N/A ,27.23  
CDNA,2023-09-17,429020000.0,52070000.0,1.53 ,N/A ,-1.57 ,N/A ,N/A ,7.96  
NRIX,2023-09-17,427050000.0,43840000.0,1.44 ,N/A ,-2.97 ,N/A ,N/A ,12.72  
CYH,2023-09-17,432270000.0,127070000.0,1.56 ,1.43 ,2.1761 ,N/A ,N/A ,6.61  
CGEM,2023-09-17,425640000.0,27120000.0,1.30 ,N/A ,-3.36 ,N/A ,N/A ,9.75  
LYEL,2023-09-17,424240000.0,121560000.0,1.60 ,N/A ,-0.8402 ,N/A ,N/A ,18.15  
NRGV,2023-09-17,447140000.0,74940000.0,1.22 ,N/A ,-0.7788 ,N/A ,N/A ,14.87  
PNNT,2023-09-17,421350000.0,63110000.0,1.07 ,N/A ,-1.24 ,13.00  ,0.21 ,0.51  
LIND,2023-09-17,421300000.0,35800000.0,1.83 ,N/A ,-1.30 ,N/A ,N/A ,8.90  
MBI,2023-09-17,420150000.0,44610000.0,1.17 ,N/A ,-5.10 ,N/A ,N/A ,3.35  
ARQT,2023-09-17,419860000.0,44750000.0,0.95 ,N/A ,-5.65 ,N/A ,N/A ,27.88  
LYTS,2023-09-17,422880000.0,24690000.0,1.00 ,16.68 ,0.88 ,1.36  ,0.05 ,2.86  
LQDA,2023-09-17,417580000.0,53010000.0,0.93 ,N/A ,-0.79 ,N/A ,N/A ,4.53  
MVIS,2023-09-17,416880000.0,185900000.0,1.43 ,N/A ,-0.3828 ,N/A ,N/A ,22.82  
GATO,2023-09-17,414280000.0,46080000.0,1.42 ,N/A ,-0.07 ,N/A ,N/A ,0.88  
HT,2023-09-17,473720000.0,33409999.999999996,1.74 ,3.18 ,3.10 ,2.03  ,0.05 ,1.95  
AMRN,2023-09-17,412220000.0,406330000.0,1.26 ,N/A ,-0.0945 ,N/A ,N/A ,4.06  
HA,2023-09-17,409960000.0,49460000.0,1.45 ,N/A ,-3.30 ,0.00  ,0.12 ,10.65  
