Ticker,Date,mktWatch-marketCap,mktWatch-float,mktWatch-Beta,mktWatch-P/Eratio,mktWatch-EPS,mktWatch-yield,mktWatch-dividend,mktWatch-short%
TALK,2023-09-17,291400000.0,113950000.0,0.87 ,N/A ,-0.3113 ,N/A ,N/A ,1.49  
ZIMV,2023-09-17,291300000.0,25940000.0,1.23 ,N/A ,-3.16 ,N/A ,N/A ,1.97  
UROY,2023-09-17,288670000.0,82350000.0,0.92 ,N/A ,-0.0338 ,N/A ,N/A ,1.81  
NVX,2023-09-17,297190000.0,N/A ,1.56 ,N/A ,-0.3825 ,N/A ,N/A ,N/A 
ANGO,2023-09-17,289600000.0,38090000.0,0.96 ,N/A ,-1.33 ,N/A ,N/A ,3.21  
MGNX,2023-09-17,288680000.0,58480000.0,1.33 ,41.68 ,0.1118 ,N/A ,N/A ,8.47  
UTI,2023-09-17,288570000.0,32650000.0,0.92 ,201.19 ,0.04 ,N/A ,N/A ,2.40  
EXFY,2023-09-17,286660000.0,40530000.0,1.56 ,N/A ,-0.3540 ,N/A ,N/A ,4.94  
SKYT,2023-09-17,286030000.0,14680000.0,2.25 ,N/A ,-0.53 ,N/A ,N/A ,8.75  
ALVR,2023-09-17,280880000.0,56670000.0,1.67 ,N/A ,-1.8247 ,N/A ,N/A ,14.67  
AFB,2023-09-17,N/A 
BLND,2023-09-17,285410000.0,174420000.0,1.77 ,N/A ,-1.3711 ,N/A ,N/A ,5.82  
NCV,2023-09-17,N/A 
NUVB,2023-09-17,285930000.0,143750000.0,1.04 ,N/A ,-0.4136 ,N/A ,N/A ,1.51  
OPAD,2023-09-17,283150000.0,N/A ,1.85 ,N/A ,-1.80 ,N/A ,N/A ,N/A 
RLGT,2023-09-17,281390000.0,36380000.0,N/A ,14.37 ,0.41 ,N/A ,N/A ,0.49  
JMIA,2023-09-17,281730000.0,100610000.0,2.01 ,N/A ,-1.6246 ,N/A ,N/A ,8.77  
AMPY,2023-09-17,281640000.0,38230000.0,1.72 ,0.66 ,10.85 ,0.00  ,0.10 ,2.95  
SKGR,2023-09-17,280860000.0,20660000.0,-0.03 ,43.67 ,0.25 ,N/A ,N/A ,0.03  
FRBA,2023-09-17,284050000.0,23650000.0,1.02 ,6.67 ,1.69 ,2.13  ,0.06 ,0.75  
OVID,2023-09-17,280290000.0,58260000.0,0.86 ,N/A ,-0.6986 ,N/A ,N/A ,3.57  
VMD,2023-09-17,273970000.0,33650000.0,0.77 ,39.73 ,0.18 ,N/A ,N/A ,1.52  
CJET,2023-09-17,283490000.0,14310000.0,0.03 ,32.77 ,0.0531 ,N/A ,N/A ,1.40  
TRHC,2023-09-17,278660000.0,23980000.0,1.29 ,N/A ,-3.66 ,N/A ,N/A ,3.18  
GPMT,2023-09-17,278000000.0,50550000.0,1.37 ,N/A ,-1.44 ,15.77  ,0.20 ,0.64  
NOTE,2023-09-17,278330000.0,101580000.0,0.69 ,N/A ,-2.3282 ,N/A ,N/A ,5.67  
FULC,2023-09-17,277580000.0,58100000.0,1.66 ,N/A ,-1.8153 ,N/A ,N/A ,6.13  
OCUL,2023-09-17,276260000.0,75160000.0,1.29 ,N/A ,-1.1728 ,N/A ,N/A ,5.47  
XERS,2023-09-17,276130000.0,129080000.00000001,1.62 ,N/A ,-0.5229 ,N/A ,N/A ,5.75  
BKCC,2023-09-17,275770000.0,71590000.0,1.01 ,26.32 ,0.1444 ,10.53  ,0.1000 ,0.54  
TRMR,2023-09-17,284130000.0,71310000.0,1.42 ,N/A ,-0.2632 ,N/A ,N/A ,0.52  
FLIC,2023-09-17,274480000.0,20880000.0,0.91 ,7.72 ,1.57 ,6.91  ,0.21 ,1.67  
PMM,2023-09-17,N/A 
LINC,2023-09-17,273770000.0,27210000.0,0.70 ,9.51 ,0.92 ,N/A ,N/A ,1.61  
DXLG,2023-09-17,271750000.0,57010000.0,1.07 ,7.94 ,0.5665 ,N/A ,N/A ,5.26  
CMPX,2023-09-17,271490000.0,81670000.0,0.60 ,N/A ,-0.3696 ,N/A ,N/A ,5.43  
ONTF,2023-09-17,271330000.0,38730000.0,1.14 ,N/A ,-1.21 ,0.00  ,1.09 ,2.93  
HIVE,2023-09-17,270120000.0,85320000.0,1.95 ,N/A ,-1.8147 ,N/A ,N/A ,4.34  
GBIO,2023-09-17,270310000.0,48680000.0,1.64 ,N/A ,-2.0832 ,N/A ,N/A ,4.08  
VNDA,2023-09-17,270290000.0,55560000.0,0.88 ,18.05 ,0.2604 ,N/A ,N/A ,5.04  
KLTR,2023-09-17,268670000.0,64959999.99999999,1.30 ,N/A ,-0.4313 ,N/A ,N/A ,2.45  
ENTA,2023-09-17,268040000.00000003,19500000.0,0.99 ,N/A ,-6.31 ,N/A ,N/A ,8.63  
KNDI,2023-09-17,267149999.99999997,64330000.0,0.93 ,N/A ,-0.0672 ,N/A ,N/A ,2.10  
BGT,2023-09-17,N/A 
AVAH,2023-09-17,266600000.00000003,53190000.0,1.04 ,N/A ,-1.1810 ,N/A ,N/A ,3.32  
INZY,2023-09-17,265440000.0,44570000.0,0.67 ,N/A ,-1.5795 ,N/A ,N/A ,3.79  
AVIR,2023-09-17,265209999.99999997,73370000.0,0.95 ,N/A ,-1.2738 ,N/A ,N/A ,2.41  
AFCG,2023-09-17,264519999.99999997,15710000.0,0.75 ,7.21 ,1.79 ,16.09  ,0.48 ,3.20  
AGS,2023-09-17,264339999.99999997,37060000.0,1.58 ,74.17 ,0.09 ,N/A ,N/A ,2.55  
EEX,2023-09-17,264079999.99999997,14790000.0,0.97 ,31.07 ,0.1352 ,0.00  ,0.0750 ,2.27  
ARAY,2023-09-17,263690000.0,90360000.0,1.15 ,N/A ,-0.0986 ,N/A ,N/A ,6.89  
EVTL,2023-09-17,254910000.0,49300000.0,0.58 ,N/A ,-0.5022 ,N/A ,N/A ,0.56  
DTC,2023-09-17,411700000.0,26480000.0,1.52 ,16.67 ,0.2735 ,N/A ,N/A ,5.86  
CVGI,2023-09-17,268610000.0,29470000.0,1.25 ,N/A ,-0.31 ,N/A ,N/A ,3.28  
BARK,2023-09-17,261170000.00000003,105190000.0,1.66 ,N/A ,-0.3255 ,N/A ,N/A ,10.22  
MCR,2023-09-17,N/A 
CLAR,2023-09-17,259300000.0,28410000.0,1.18 ,N/A ,-2.15 ,1.45  ,0.03 ,12.42  
LOCC,2023-09-17,259250000.0,17430000.0,0.02 ,58.62 ,0.18 ,N/A ,N/A ,0.01  
PANL,2023-09-17,258820000.0,26590000.0,0.63 ,6.15 ,0.91 ,7.18  ,0.10 ,4.52  
BBAI,2023-09-17,258670000.00000003,48410000.0,0.40 ,N/A ,-0.6883 ,N/A ,N/A ,14.95  
TIO,2023-09-17,258579999.99999997,118490000.0,0.57 ,3.70 ,0.3403 ,N/A ,N/A ,17.46  
AEF,2023-09-17,N/A 
VZLA,2023-09-17,269110000.0,158290000.0,N/A ,N/A ,-0.06 ,N/A ,N/A ,0.14  
WSBF,2023-09-17,257490000.0,17660000.0,0.53 ,20.61 ,0.59 ,6.62  ,0.20 ,0.87  
PLSE,2023-09-17,256950000.0,N/A ,1.14 ,N/A ,-1.2173 ,N/A ,N/A ,N/A 
ASRT,2023-09-17,256510000.0,87320000.0,1.02 ,1.91 ,1.4454 ,N/A ,N/A ,10.65  
QUAD,2023-09-17,255510000.0,29110000.0,1.14 ,N/A ,-0.5354 ,0.00  ,0.1500 ,5.69  
API,2023-09-17,243880000.0,75500000.0,1.77 ,N/A ,-1.1753 ,N/A ,N/A ,3.01  
OB,2023-09-17,254350000.0,34620000.0,1.48 ,N/A ,-0.1414 ,N/A ,N/A ,1.53  
MAPS,2023-09-17,230800000.0,79560000.0,0.81 ,N/A ,-1.2513 ,N/A ,N/A ,2.37  
MMT,2023-09-17,N/A 
EDAP,2023-09-17,249520000.0,36710000.0,0.68 ,N/A ,-0.08 ,N/A ,N/A ,0.19  
THRD,2023-09-17,253580000.0,14650000.0,3.22 ,N/A ,-1.09 ,N/A ,N/A ,6.11  
VLN,2023-09-17,245210000.0,61980000.0,0.72 ,N/A ,-0.2266 ,N/A ,N/A ,0.27  
OPRT,2023-09-17,252270000.0,25090000.0,1.34 ,N/A ,-6.87 ,N/A ,N/A ,1.31  
ACIU,2023-09-17,252530000.0,41590000.0,0.89 ,N/A ,-0.8475 ,N/A ,N/A ,0.93  
OBIO,2023-09-17,251990000.0,21930000.0,0.33 ,N/A ,-0.87 ,N/A ,N/A ,2.93  
SCPH,2023-09-17,251720000.0,23550000.0,0.90 ,N/A ,-1.33 ,N/A ,N/A ,28.48  
LLAP,2023-09-17,251670000.0,117770000.0,0.95 ,N/A ,-0.9793 ,N/A ,N/A ,5.65  
BLNK,2023-09-17,255660000.0,57800000.0,1.55 ,N/A ,-2.3705 ,N/A ,N/A ,27.65  
DSKE,2023-09-17,250820000.0,37980000.0,1.49 ,19.47 ,0.28 ,N/A ,N/A ,2.26  
OPFI,2023-09-17,249180000.0,13440000.0,1.02 ,N/A ,-0.1066 ,N/A ,N/A ,5.56  
VSTM,2023-09-17,249980000.0,20690000.0,1.43 ,N/A ,-4.40 ,N/A ,N/A ,2.28  
IBEX,2023-09-17,248750000.0,9490000.0,0.63 ,11.50 ,1.18 ,N/A ,N/A ,0.60  
MTRX,2023-09-17,248430000.0,25450000.0,1.15 ,N/A ,-1.94 ,N/A ,N/A ,0.66  
PETS,2023-09-17,248100000.0,20240000.0,0.67 ,N/A ,-0.17 ,10.24  ,0.30 ,15.87  
RPHM,2023-09-17,247760000.0,19690000.0,0.76 ,N/A ,-2.34 ,N/A ,N/A ,10.32  
RGTI,2023-09-17,247360000.0,80770000.0,1.66 ,N/A ,-0.6650 ,N/A ,N/A ,7.04  
IREN,2023-09-17,301240000.0,38180000.0,2.18 ,N/A ,N/A ,N/A ,N/A ,1.61  
BLZE,2023-09-17,245480000.0,25280000.0,1.68 ,N/A ,-1.76 ,N/A ,N/A ,0.59  
ZTR,2023-09-17,N/A 
QIPT,2023-09-17,239830000.0,40420000.0,0.39 ,480.17 ,0.01 ,N/A ,N/A ,1.82  
CMAX,2023-09-17,244330000.0,83760000.0,1.34 ,N/A ,-1.1759 ,N/A ,N/A ,9.02  
BHR,2023-09-17,190060000.0,52550000.0,1.83 ,N/A ,-0.5763 ,6.94  ,0.0500 ,2.02  
VIGL,2023-09-17,243580000.0,14790000.0,0.97 ,N/A ,-2.04 ,N/A ,N/A ,5.31  
TTSH,2023-09-17,243310000.0,25580000.0,1.25 ,19.29 ,0.28 ,0.00  ,0.65 ,1.87  
ILPT,2023-09-17,243080000.0,58080000.0,1.04 ,N/A ,-1.9496 ,1.08  ,0.0100 ,2.29  
CDZI,2023-09-17,241740000.0,39760000.0,0.61 ,N/A ,-0.6226 ,N/A ,N/A ,6.58  
TUSK,2023-09-17,241150000.0,45390000.0,0.97 ,14.74 ,0.34 ,0.00  ,0.13 ,1.79  
ASUR,2023-09-17,240600000.0,22200000.0,0.95 ,N/A ,-0.44 ,N/A ,N/A ,3.21  
PCYO,2023-09-17,240310000.0,23200000.0,0.89 ,26.17 ,0.38 ,N/A ,N/A ,0.84  
REAL,2023-09-17,240030000.0,79930000.0,2.21 ,N/A ,-2.1181 ,N/A ,N/A ,14.18  
ATAI,2023-09-17,240720000.0,114140000.0,1.31 ,N/A ,-0.9248 ,N/A ,N/A ,3.61  
PPTA,2023-09-17,239400000.0,26970000.0,0.69 ,N/A ,-0.4518 ,N/A ,N/A ,3.64  
ICNC,2023-09-17,237770000.0,8240000.0,-0.01 ,36.42 ,0.30 ,N/A ,N/A ,0.00  
CMTL,2023-09-17,237850000.0,25930000.0,1.16 ,N/A ,-1.28 ,4.69  ,0.10 ,1.13  
DBL,2023-09-17,N/A 
TWOU,2023-09-17,237750000.0,76450000.0,1.71 ,N/A ,-4.5547 ,N/A ,N/A ,11.07  
LFCR,2023-09-17,244090000.0,29690000.0,0.70 ,N/A ,-2.63 ,N/A ,N/A ,6.06  
WRN,2023-09-17,239030000.0,146810000.0,N/A ,N/A ,-0.02 ,N/A ,N/A ,0.54  
EPM,2023-09-17,236970000.0,30120000.0,N/A ,6.85 ,1.04 ,6.73  ,0.12 ,5.30  
PRPL,2023-09-17,237940000.0,98790000.0,1.39 ,N/A ,-1.3347 ,N/A ,N/A ,6.38  
MKFG,2023-09-17,236790000.0,100990000.0,1.49 ,N/A ,-0.3702 ,N/A ,N/A ,3.69  
STRO,2023-09-17,236660000.0,57330000.0,1.54 ,N/A ,-2.4722 ,N/A ,N/A ,3.28  
PBPB,2023-09-17,236590000.0,22180000.0,0.96 ,18.67 ,0.43 ,N/A ,N/A ,4.06  
GWH,2023-09-17,236500000.0,52950000.0,1.66 ,N/A ,-0.6603 ,N/A ,N/A ,14.86  
AKBA,2023-09-17,237280000.0,166990000.0,1.90 ,N/A ,-0.5338 ,N/A ,N/A ,3.48  
AIP,2023-09-17,236280000.0,20380000.0,1.58 ,N/A ,-0.97 ,N/A ,N/A ,0.41  
POWW,2023-09-17,235920000.0,87820000.0,0.47 ,N/A ,-0.1025 ,N/A ,N/A ,4.24  
IMRX,2023-09-17,235580000.0,21180000.0,1.34 ,N/A ,-1.93 ,N/A ,N/A ,13.21  
APCA,2023-09-17,235030000.0,14350000.0,0.00 ,80.32 ,0.14 ,N/A ,N/A ,0.02  
PRTS,2023-09-17,234910000.0,51970000.0,1.16 ,N/A ,-0.1306 ,N/A ,N/A ,2.52  
